sku	name	original_codes	description	applications	image_url
RV0405.0013	FAROL DE LED - 27W 09-80V DC REDONDO		FAROL DE LED - 27W 09-80V DC REDONDO. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739290/rv04050013_uxi8g7.png"""
RV0405.0058	FAROL DE LED - 27W 09-80V DC REDONDO		FAROL DE LED - 27W 09-80V DC REDONDO. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739277/rv04050058_oq9kaq.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739059/rv04050058n2_v2yalc.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739054/rv04050058n1_jgvjbl.jpg"""
RV0405.0024	FAROL DE LED SETA - LADO DIREITO O 10-32V DC		FAROL DE LED SETA - LADO DIREITO O 10-32V DC. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739028/rv04050024_lbzrnx.png"""
RV0405.0025	FAROL DE LED SETA - LADO ESQUERDO 10-32V DC		FAROL DE LED SETA - LADO ESQUERDO 10-32V DC. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739022/rv04050025_yvxfqz.png"""
RV0206.3046	FAROL AUX RED 6 LEDS CORPO PT 12/24V AZUL		FAROL AUX RED 6 LEDS CORPO PT 12/24V AZUL. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738616/rv02063046_dirokf.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738424/rv02063046n1_ljq8dt.jpg"""
RV0206.3047	FAROL AUX RED 6 LEDS CORPO PT 12/24V BRANCO		FAROL AUX RED 6 LEDS CORPO PT 12/24V BRANCO. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738169/rv02063047_wpx7vj.jpg"""
RV0206.3048	FAROL AUX RED 19L 3EM1 CP. PT 12/24V AZ PAR		FAROL AUX RED 19L 3EM1 CP. PT 12/24V AZ PAR. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738259/rv02063048_bw5cub.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738259/rv02063048_bw5cub.jpg"""
RV0206.3015	GIROFLEX DE LED - 10-60V		GIROFLEX DE LED - 10-60V. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738165/rv02063015_rfmhcd.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738510/rv02063015n2_wjiioe.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738510/rv02063015n2_wjiioe.png"""
RV0206.3040	GIROFLEX DE LED - 11-60V - 06 LED'S AZUL		GIROFLEX DE LED - 11-60V - 06 LED'S AZUL. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738646/rv02063040_kjcv0m.png"""
RV0405.0015	GIROFLEX DE LED KF-WB-36D 12-110V		GIROFLEX DE LED KF-WB-36D 12-110V. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739297/rv04050015n1_johnbp.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739017/rv04050015_ym71hf.jpg"""
RV0405.0016	GIROFLEX DE XENON KF-WB-36 9-110V		GIROFLEX DE XENON KF-WB-36 9-110V. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739021/rv04050016_mfpk3s.png"""
RV0405.0026	GIROFLEX DE LED 7W 12-110V (GRANDE)		GIROFLEX DE LED 7W 12-110V (GRANDE). Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739308/rv04050026_pau7p7.jpg"""
RV0405.0036	LATERNA 4 FUNCOES - RE, FREIO, SETA E LANTERNA		LATERNA 4 FUNCOES - RE, FREIO, SETA E LANTERNA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739039/rv04050036_mqbft6.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739040/rv04050036n2_n6mgjl.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739039/rv04050036n1_sw0yog.png"""
RV0405.0054	LANTERNA TRASEIRA L272MM - (ESQUERDO)		LANTERNA TRASEIRA L272MM - (ESQUERDO). Aplicado em TOYOTA 8FD/G10-30. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	TOYOTA 8FD/G10-30	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739047/rv04050054_qihxxj.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739047/rv04050054n1_uh0som.png"""
RV0405.0055	LANTERNA TRASEIRA L356MM - (DIREITO)		LANTERNA TRASEIRA L356MM - (DIREITO). Aplicado em TOYOTA 8FD/G10-30. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	TOYOTA 8FD/G10-30	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739049/rv04050055_iyywvv.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739053/rv04050055n1_wrprex.png"""
RV0405.0011	FAROL DE LED - SPOT AZUL 10W 09-48V DC		FAROL DE LED - SPOT AZUL 10W 09-48V DC. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739016/rv04050011_stepjz.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739016/rv04050011_stepjz.png"""
RV0405.0056	FAROL DE LED - SPOT AZUL MINI 20W (02X10W) 12-80V DC		FAROL DE LED - SPOT AZUL MINI 20W (02X10W) 12-80V DC. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739331/rv04050056_elmdoo.jpg"""
RV0405.0022	FAROL DE LED - SPOT SETA AZUL 20W 12-32V (PROJETA UMA SETA AZUL NO CHO)		FAROL DE LED - SPOT SETA AZUL 20W 12-32V (PROJETA UMA SETA AZUL NO CHO). Aplicado em diversas mquinas e modelos. Ideal para aumentar a segurana e visibilidade em operaes com empilhadeiras e veculos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739022/rv04050022_ij2jtb.png"""
RV0405.0023	FAROL DE LED - RED LINE (BARRA LATERAL) 30W / 10-80V DC - LUZ VERMELHA		FAROL DE LED - RED LINE (BARRA LATERAL) 30W / 10-80V DC - LUZ VERMELHA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739022/rv04050023_pmg4ma.png"""
RV0405.0027	FAROL DE LED 10-80VDC - RED LINE QUADRA LUZ VERMELHA LINHA		FAROL DE LED 10-80VDC - RED LINE QUADRA LUZ VERMELHA LINHA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739319/rv04050027_xrf96w.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739028/rv04050027n1_jrnxef.png"""
RV0405.0028	FAROL DE LED - BLUE LINE (BARRA LATERAL) 18W (6X3W), 10-80V DC - LUZ AZUL		FAROL DE LED - BLUE LINE (BARRA LATERAL) 18W (6X3W), 10-80V DC - LUZ AZUL. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739028/rv04050028_mgsfxe.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739033/rv04050028n1_qjgzbr.jpg"""
RV0405.0045	FAROL DE LED - BLUE LINE (QUADRADO) 6W (2X3W) 10-80V DC - LUZ AZUL		FAROL DE LED - BLUE LINE (QUADRADO) 6W (2X3W) 10-80V DC - LUZ AZUL. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739324/rv04050045_cn4q6n.jpg"""
RV0405.0050	FAROL DE LED - RED ZONE (BARRA LATERAL) 30W, 10-80V DC - LUZ VERMELHA		FAROL DE LED - RED ZONE (BARRA LATERAL) 30W, 10-80V DC - LUZ VERMELHA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739053/rv04050050_c93pft.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739047/rv04050050n1_miegpn.png"""
RV0405.0065	FAROL DE LED - RED ZONE MINI - 30W, 10-80V - LUZ VERMELHA		FAROL DE LED - RED ZONE MINI - 30W, 10-80V - LUZ VERMELHA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739059/rv04050063_hq7gef.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739059/rv04050063n1_nykb0o.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739060/rv04050063n3_pazx1m.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739065/rv04050063n2_l79jsq.jpg"""
RV0206.2015	BUZINA INDIVIDUAL - 12V ELETROMAGNTICA PERCUSSO - 1 tom - 83mm / 109-118dB		BUZINA INDIVIDUAL - 12V ELETROMAGNTICA PERCUSSO - 1 tom - 83mm / 109-118dB. Aplicado em diversas mquinas e modelos. Ideal para aumentar a segurana e visibilidade em operaes com empilhadeiras e veculos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739486/rv02062015_lyctgu.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739008/rv02062015n2_t5xqnh.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738160/rv02062015n1_bmyk9k.jpg"""
RV0233.5026	BUZINA INDIVIDUAL 350Hz - 24V ELETROMAGNTICA PERCUSSO		BUZINA INDIVIDUAL 350Hz - 24V ELETROMAGNTICA PERCUSSO. Aplicado em diversas mquinas e modelos. Ideal para aumentar a segurana e visibilidade em operaes com empilhadeiras e veculos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738674/rv02335026_vkwvzr.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738675/rv02335026n1_d7yzch.png"""
RV0233.5027	BUZINA INDIVIDUAL 330Hz - 36V ELETROMAGNTICA PERCUSSO		BUZINA INDIVIDUAL 330Hz - 36V ELETROMAGNTICA PERCUSSO. Aplicado em diversas mquinas e modelos. Ideal para aumentar a segurana e visibilidade em operaes com empilhadeiras e veculos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738680/rv02335027n1_ajrs0j.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738680/rv02335027_wqfxys.png"""
RV0233.5028	BUZINA INDIVIDUAL 350Hz - 48V ELETROMAGNTICA PERCUSSO		BUZINA INDIVIDUAL 350Hz - 48V ELETROMAGNTICA PERCUSSO. Aplicado em diversas mquinas e modelos. Ideal para aumentar a segurana e visibilidade em operaes com empilhadeiras e veculos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738680/rv02335027_wqfxys.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738679/rv02335028_x5blb9.png"""
RV0405.0037	BUZINA BI BI - 12V | 0,5A | 105dB		BUZINA BI BI - 12V | 0,5A | 105dB. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739046/rv04050037_vgfbbx.png"""
RV0405.0032	BUZINA BI BI - 24V | 0,5A | 105dB		BUZINA BI BI - 24V | 0,5A | 105dB. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739033/rv04050032_joiv3r.png"""
RV0405.0033	BUZINA BI BI - 48V | 0,5A | 105dB		BUZINA BI BI - 48V | 0,5A | 105dB. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739034/rv04050033_aefhen.png"""
RV0206.2031	SIRENE INDICADORA DE RÉ | DNI 4028 - 48Vdc / 0,30A / 110dB / PIEZOELÉTRICA		SIRENE INDICADORA DE RÉ | DNI 4028 - 48Vdc / 0,30A / 110dB / PIEZOELÉTRICA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738392/rv02062031_dt73aq.png"""
RV0206.2044	SIRENE INDICADORA DE RÉ | DNI 4042 - 12Vdc / 0,25A / 115dB / PIEZOELÉTRICA		SIRENE INDICADORA DE RÉ | DNI 4042 - 12Vdc / 0,25A / 115dB / PIEZOELÉTRICA. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738395/rv02062044_lyk2it.png"""
RV0405.0035	SINALIZADOR SONORO - 12~80V - PROVA D'ÁGUA - 102DB(A)		SINALIZADOR SONORO - 12~80V - PROVA D'ÁGUA - 102DB(A). Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739034/rv04050035_wtuhv8.png"""
RV0433.5024	RETROVISOR UNIVERSAL - 134X230MM		RETROVISOR UNIVERSAL - 134X230MM. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739674/rv04335024_efaltj.png"""
RV0433.5029	RETROVISOR UNIVERSAL - 118X207MM		RETROVISOR UNIVERSAL - 118X207MM. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739680/rv04335029_w5mapj.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739680/rv04335029n1_huydsf.jpg"""
RV0433.5036	RETROVISOR UNIVERSAL - 125X210MM		RETROVISOR UNIVERSAL - 125X210MM. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739685/rv04335036_sqtblu.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739685/rv04335036n1_qrbitq.jpg"""
RV0233.5018	RETROVISOR CONVEXO PINO CENTRAL 130MM (13CM) - REDONDO		RETROVISOR CONVEXO PINO CENTRAL 130MM (13CM) - REDONDO. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738673/rv02335018_m6hpoq.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738674/rv02335018n1_hchmv0.jpg"""
RV0433.5001	CINTO DE SEGURANÇA RETRÁTIL - ABDOMINAL 2P		CINTO DE SEGURANÇA RETRÁTIL - ABDOMINAL 2P. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739663/rv04335001n1_ardz7f.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739663/rv04335001_y2a4kr.png"""
RV0433.5002	CINTO DE SEGURANÇA RETRÁTIL - ABDOMINAL 2P COM SENSOR		CINTO DE SEGURANÇA RETRÁTIL - ABDOMINAL 2P COM SENSOR. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739668/rv04335002_iwpcld.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739668/rv04335002_iwpcld.jpg"""
RV0433.5030	FECHO ELETRICO - 150mm (HASTE RIGIDA RETA / NA - NORMAL ABERTO)		FECHO ELETRICO - 150mm (HASTE RIGIDA RETA / NA - NORMAL ABERTO). Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739680/rv04335030_kytr6b.jpg"""
RV0233.5030	FECHO ELETRICO - 150mm (HASTE RIGIDA COM DOBRA / NA - NORMAL ABERTO)		FECHO ELETRICO - 150mm (HASTE RIGIDA COM DOBRA / NA - NORMAL ABERTO). Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747739680/rv04335030_kytr6b.jpg"""
RV0233.5031	FECHO COM CADARÇO - 150mm (SEM SENSOR)		FECHO COM CADARÇO - 150mm (SEM SENSOR). Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738681/rv02335031_xevv9x.png,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738686/rv02335031n3_kejlcm.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738685/rv02335031n2_kvgamv.jpg,https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738684/rv02335031n1_cyie3u.jpg"""
RV0233.5032	CINTO RETRÁTIL 2 PONTOS - PRETO 1.225mm		CINTO RETRÁTIL 2 PONTOS - PRETO 1.225mm. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738688/rv02335032_ahqcll.png"""
RV0233.5033	CINTO RETRÁTIL 2 PONTOS - VERMELHO 1.225mm		CINTO RETRÁTIL 2 PONTOS - VERMELHO 1.225mm. Aplicado em diversas máquinas e modelos. Ideal para aumentar a segurança e visibilidade em operações com empilhadeiras e veículos industriais.	Universal	"""https://res.cloudinary.com/dkdo84xhb/image/upload/v1747738690/rv02335033_ow0d0w.png"""
